m,I,V_ub
10,820,67.3764
10,830,65.1077
10,840,62.9154
10,850,60.7969
10,860,58.7498
10,870,56.7715
10,880,54.8599
10,890,53.0127
10,900,51.2277
10,910,49.5027
10,920,47.8359
10,930,46.2252
10,940,44.6687
10,950,43.1646
10,960,41.7112
10,970,40.3067
10,980,38.9495
10,990,37.638
10,1000,36.3706
11,50,946.757
11,60,915.858
11,70,885.968
11,80,857.053
11,90,829.082
11,100,802.024
11,110,775.849
11,120,750.528
11,130,726.034
11,140,702.339
11,150,679.417
11,160,657.243
11,170,635.793
11,180,615.043
11,190,594.97
11,200,575.553
11,210,556.769
11,220,538.598
11,230,521.02
11,240,504.016
11,250,487.567
11,260,471.654
11,270,456.261
11,280,441.371
11,290,426.966
11,300,413.031
11,310,399.551
11,320,386.512
11,330,373.897
11,340,361.695
11,350,349.89
11,360,338.471
11,370,327.425
11,380,316.739
11,390,306.401
11,400,296.402
11,410,286.728
11,420,277.37
11,430,268.318
11,440,259.561
11,450,251.09
11,460,242.895
11,470,234.968
11,480,227.3
11,490,219.881
11,500,212.705
11,510,205.763
11,520,199.048
11,530,192.552
11,540,186.268
11,550,180.189
11,560,174.308
11,570,168.619
11,580,163.116
11,590,157.792
11,600,152.643
11,610,147.661
11,620,142.842
11,630,138.18
11,640,133.67
11,650,129.308
11,660,125.088
11,670,121.005
11,680,117.056
11,690,113.236
11,700,109.54
11,710,105.965
11,720,102.507
11,730,99.1615
11,740,95.9252
11,750,92.7946
11,760,89.7661
11,770,86.8365
11,780,84.0025
11,790,81.2609
11,800,78.6089
11,810,76.0434
11,820,73.5616
11,830,71.1608
11,840,68.8384
11,850,66.5917
11,860,64.4184
11,870,62.3161
11,880,60.2823
11,890,58.3149
11,900,56.4117
11,910,54.5706
11,920,52.7897
11,930,51.0668
11,940,49.4002
11,950,47.7879
11,960,46.2283
11,970,44.7196
11,980,43.2601
11,990,41.8482
11,1000,40.4825
12,50,951.258
12,60,921.086
12,70,891.87
12,80,863.582
12,90,836.19
12,100,809.668
12,110,783.987
12,120,759.12
12,130,735.042
12,140,711.728
12,150,689.153
12,160,667.294
12,170,646.129
12,180,625.634
12,190,605.79
12,200,586.576
12,210,567.971
12,220,549.956
12,230,532.512
12,240,515.621
12,250,499.267
12,260,483.431
12,270,468.097
12,280,453.25
12,290,438.874
12,300,424.953
12,310,411.475
12,320,398.423
12,330,385.786
12,340,373.55
12,350,361.701
12,360,350.229
12,370,339.12
12,380,328.364
12,390,317.949
12,400,307.864
12,410,298.099
12,420,288.644
12,430,279.488
12,440,270.623
12,450,262.04
12,460,253.728
12,470,245.68
12,480,237.888
12,490,230.342
12,500,223.036
12,510,215.962
12,520,209.112
12,530,202.479
12,540,196.057
12,550,189.839
12,560,183.817
12,570,177.987
12,580,172.341
12,590,166.875
12,600,161.582
12,610,156.457
12,620,151.494
12,630,146.689
12,640,142.036
12,650,137.531
12,660,133.169
12,670,128.945
12,680,124.855
12,690,120.895
12,700,117.06
12,710,113.347
12,720,109.752
12,730,106.271
12,740,102.9
12,750,99.6366
12,760,96.4763
12,770,93.4162
12,780,90.4532
12,790,87.5842
12,800,84.8062
12,810,82.1163
12,820,79.5117
12,830,76.9897
12,840,74.5477
12,850,72.1832
12,860,69.8937
12,870,67.6767
12,880,65.5302
12,890,63.4516
12,900,61.4391
12,910,59.4903
12,920,57.6034
12,930,55.7763
12,940,54.0072
12,950,52.2942
12,960,50.6355
12,970,49.0294
12,980,47.4743
12,990,45.9685
12,1000,44.5104
13,50,955.303
13,60,925.787
13,70,897.184
13,80,869.464
13,90,842.601
13,100,816.568
13,110,791.339
13,120,766.89
13,130,743.196
13,140,720.234
13,150,697.981
13,160,676.416
13,170,655.517
13,180,635.264
13,190,615.637
13,200,596.616
13,210,578.183
13,220,560.319
13,230,543.008
13,240,526.231
13,250,509.972
13,260,494.216
13,270,478.946
13,280,464.149
13,290,449.808
13,300,435.911
13,310,422.443
13,320,409.391
13,330,396.742
13,340,384.485
13,350,372.605
13,360,361.093
13,370,349.937
13,380,339.125
13,390,328.647
13,400,318.493
13,410,308.653
13,420,299.117
13,430,289.875
13,440,280.919
13,450,272.24
13,460,263.829
13,470,255.677
13,480,247.778
13,490,240.123
13,500,232.704
13,510,225.514
13,520,218.546
13,530,211.794
13,540,205.251
13,550,198.909
13,560,192.763
13,570,186.808
13,580,181.036
13,590,175.443
13,600,170.022
13,610,164.769
13,620,159.678
13,630,154.745
13,640,149.964
13,650,145.331
13,660,140.84
13,670,136.489
13,680,132.272
13,690,128.185
13,700,124.225
13,710,120.387
13,720,116.667
13,730,113.063
13,740,109.569
13,750,106.184
13,760,102.904
13,770,99.7242
13,780,96.6431
13,790,93.6572
13,800,90.7635
13,810,87.9593
13,820,85.2416
13,830,82.608
13,840,80.0557
13,850,77.5823
13,860,75.1853
13,870,72.8623
13,880,70.6112
13,890,68.4296
13,900,66.3153
13,910,64.2664
13,920,62.2808
13,930,60.3566
13,940,58.4918
13,950,56.6846
13,960,54.9333
13,970,53.2361
13,980,51.5913
13,990,49.9973
13,1000,48.4526
14,50,958.967
14,60,930.051
14,70,902.006
14,80,874.807
14,90,848.428
14,100,822.845
14,110,798.033
14,120,773.969
14,130,750.631
14,140,727.997
14,150,706.045
14,160,684.755
14,170,664.107
14,180,644.081
14,190,624.66
14,200,605.824
14,210,587.556
14,220,569.839
14,230,552.656
14,240,535.991
14,250,519.829
14,260,504.154
14,270,488.952
14,280,474.208
14,290,459.909
14,300,446.041
14,310,432.591
14,320,419.547
14,330,406.896
14,340,394.626
14,350,382.727
14,360,371.186
14,370,359.993
14,380,349.138
14,390,338.61
14,400,328.4
14,410,318.497
14,420,308.894
14,430,299.579
14,440,290.546
14,450,281.785
14,460,273.288
14,470,265.047
14,480,257.055
14,490,249.304
14,500,241.786
14,510,234.495
14,520,227.424
14,530,220.567
14,540,213.916
14,550,207.465
14,560,201.21
14,570,195.142
14,580,189.258
14,590,183.551
14,600,178.016
14,610,172.648
14,620,167.442
14,630,162.393
14,640,157.497
14,650,152.747
14,660,148.142
14,670,143.674
14,680,139.342
14,690,135.14
14,700,131.065
14,710,127.113
14,720,123.28
14,730,119.563
14,740,115.958
14,750,112.461
14,760,109.07
14,770,105.781
14,780,102.591
14,790,99.4979
14,800,96.4976
14,810,93.5878
14,820,90.7658
14,830,88.0289
14,840,85.3744
14,850,82.8001
14,860,80.3033
14,870,77.8819
14,880,75.5334
14,890,73.2558
14,900,71.0469
14,910,68.9045
14,920,66.8268
14,930,64.8117
14,940,62.8574
14,950,60.962
14,960,59.1237
14,970,57.3409
14,980,55.6119
14,990,53.935
14,1000,52.3086
15,50,962.311
15,60,933.943
15,70,906.412
15,80,879.692
15,90,853.76
15,100,828.593
15,110,804.167
15,120,780.461
15,130,757.455
15,140,735.126
15,150,713.456
15,160,692.424
15,170,672.012
15,180,652.202
15,190,632.976
15,200,614.317
15,210,596.208
15,220,578.633
15,230,561.575
15,240,545.021
15,250,528.955
15,260,513.362
15,270,498.229
15,280,483.542
15,290,469.288
15,300,455.454
15,310,442.028
15,320,428.997
15,330,416.351
15,340,404.078
15,350,392.166
15,360,380.606
15,370,369.386
15,380,358.497
15,390,347.929
15,400,337.672
15,410,327.718
15,420,318.058
15,430,308.682
15,440,299.582
15,450,290.751
15,460,282.18
15,470,273.862
15,480,265.789
15,490,257.954
15,500,250.35
15,510,242.97
15,520,235.807
15,530,228.856
15,540,222.11
15,550,215.562
15,560,209.208
15,570,203.041
15,580,197.055
15,590,191.247
15,600,185.609
15,610,180.137
15,620,174.827
15,630,169.674
15,640,164.672
15,650,159.818
15,660,155.106
15,670,150.534
15,680,146.097
15,690,141.79
15,700,137.61
15,710,133.554
15,720,129.617
15,730,125.796
15,740,122.087
15,750,118.488
15,760,114.996
15,770,111.606
15,780,108.316
15,790,105.123
15,800,102.024
15,810,99.0163
15,820,96.0975
15,830,93.2647
15,840,90.5154
15,850,87.8471
15,860,85.2575
15,870,82.7442
15,880,80.305
15,890,77.9378
15,900,75.6403
15,910,73.4105
15,920,71.2465
15,930,69.1462
15,940,67.1079
15,950,65.1297
15,960,63.2097
15,970,61.3464
15,980,59.538
15,990,57.7829
15,1000,56.0796
16,50,965.38
16,60,937.519
16,70,910.462
16,80,884.186
16,90,858.668
16,100,833.886
16,110,809.82
16,120,786.449
16,130,763.751
16,140,741.709
16,150,720.303
16,160,699.515
16,170,679.327
16,180,659.722
16,190,640.682
16,200,622.192
16,210,604.235
16,220,586.797
16,230,569.861
16,240,553.415
16,250,537.443
16,260,521.933
16,270,506.869
16,280,492.241
16,290,478.035
16,300,464.239
16,310,450.841
16,320,437.829
16,330,425.193
16,340,412.922
