m,I,V_ub
8,70,1693.74
8,80,1632.95
8,90,1574.33
8,100,1517.82
8,110,1463.34
8,120,1410.81
8,130,1360.17
8,140,1311.35
8,150,1264.28
8,160,1218.9
8,170,1175.14
8,180,1132.96
8,190,1092.29
8,200,1053.09
8,210,1015.29
8,220,978.842
8,230,943.706
8,240,909.832
8,250,877.174
8,260,845.688
8,270,815.332
8,280,786.065
8,290,757.849
8,300,730.646
8,310,704.42
8,320,679.135
8,330,654.757
8,340,631.255
8,350,608.596
8,360,586.75
8,370,565.689
8,380,545.384
8,390,525.807
8,400,506.933
8,410,488.737
8,420,471.194
8,430,454.28
8,440,437.974
8,450,422.253
8,460,407.096
8,470,392.483
8,480,378.395
8,490,364.813
8,500,351.718
8,510,339.093
8,520,326.921
8,530,315.186
8,540,303.873
8,550,292.965
8,560,282.449
8,570,272.311
8,580,262.536
8,590,253.112
8,600,244.027
8,610,235.267
8,620,226.823
8,630,218.681
8,640,210.831
8,650,203.263
8,660,195.967
8,670,188.933
8,680,182.151
8,690,175.613
8,700,169.309
8,710,163.232
8,720,157.373
8,730,151.724
8,740,146.278
8,750,141.027
8,760,135.965
8,770,131.085
8,780,126.379
8,790,121.843
8,800,117.469
8,810,113.253
8,820,109.188
8,830,105.268
8,840,101.49
8,850,97.8467
8,860,94.3345
8,870,90.9483
8,880,87.6838
8,890,84.5363
8,900,81.5019
8,910,78.5764
8,920,75.7559
8,930,73.0367
8,940,70.415
8,950,67.8875
8,960,65.4506
8,970,63.1013
8,980,60.8363
8,990,58.6526
8,1000,56.5472
9,50,1835.08
9,60,1771.7
9,70,1710.51
9,80,1651.44
9,90,1594.4
9,100,1539.33
9,110,1486.17
9,120,1434.84
9,130,1385.29
9,140,1337.44
9,150,1291.25
9,160,1246.65
9,170,1203.6
9,180,1162.03
9,190,1121.9
9,200,1083.15
9,210,1045.74
9,220,1009.62
9,230,974.754
9,240,941.089
9,250,908.586
9,260,877.206
9,270,846.91
9,280,817.66
9,290,789.42
9,300,762.156
9,310,735.833
9,320,710.42
9,330,685.884
9,340,662.195
9,350,639.325
9,360,617.244
9,370,595.927
9,380,575.345
9,390,555.474
9,400,536.29
9,410,517.768
9,420,499.886
9,430,482.621
9,440,465.953
9,450,449.86
9,460,434.323
9,470,419.323
9,480,404.84
9,490,390.858
9,500,377.359
9,510,364.326
9,520,351.744
9,530,339.595
9,540,327.867
9,550,316.543
9,560,305.611
9,570,295.056
9,580,284.865
9,590,275.027
9,600,265.528
9,610,256.358
9,620,247.504
9,630,238.956
9,640,230.703
9,650,222.735
9,660,215.042
9,670,207.615
9,680,200.445
9,690,193.522
9,700,186.838
9,710,180.386
9,720,174.156
9,730,168.141
9,740,162.334
9,750,156.727
9,760,151.314
9,770,146.088
9,780,141.043
9,790,136.172
9,800,131.469
9,810,126.928
9,820,122.544
9,830,118.312
9,840,114.226
9,850,110.281
9,860,106.472
9,870,102.795
9,880,99.2445
9,890,95.8168
9,900,92.5076
9,910,89.3126
9,920,86.228
9,930,83.25
9,940,80.3747
9,950,77.5988
9,960,74.9188
9,970,72.3313
9,980,69.8332
9,990,67.4213
9,1000,65.0928
10,50,1846.24
10,60,1784.64
10,70,1725.1
10,80,1667.54
10,90,1611.9
10,100,1558.12
10,110,1506.13
10,120,1455.88
10,130,1407.3
10,140,1360.35
10,150,1314.96
10,160,1271.08
10,170,1228.67
10,180,1187.68
10,190,1148.05
10,200,1109.75
10,210,1072.72
10,220,1036.93
10,230,1002.33
10,240,968.887
10,250,936.56
10,260,905.311
10,270,875.105
10,280,845.907
10,290,817.683
10,300,790.401
10,310,764.029
10,320,738.537
10,330,713.895
10,340,690.076
10,350,667.051
10,360,644.795
10,370,623.281
10,380,602.485
10,390,582.383
10,400,562.951
10,410,544.168
10,420,526.012
10,430,508.461
10,440,491.496
10,450,475.097
10,460,459.245
10,470,443.923
10,480,429.111
10,490,414.793
10,500,400.954
10,510,387.576
10,520,374.644
10,530,362.144
10,540,350.061
10,550,338.381
10,560,327.091
10,570,316.177
10,580,305.628
10,590,295.431
10,600,285.573
10,610,276.045
10,620,266.835
10,630,257.932
10,640,249.326
10,650,241.007
10,660,232.966
10,670,225.193
10,680,217.679
10,690,210.416
10,700,203.395
10,710,196.609
10,720,190.049
10,730,183.708
10,740,177.579
10,750,171.654
10,760,165.926
10,770,160.39
10,780,155.039
10,790,149.866
10,800,144.865
10,810,140.032
10,820,135.36
10,830,130.843
10,840,126.478
10,850,122.258
10,860,118.179
10,870,114.235
10,880,110.424
10,890,106.74
10,900,103.178
10,910,99.7356
10,920,96.4079
10,930,93.1912
10,940,90.0819
10,950,87.0763
10,960,84.1709
10,970,81.3625
10,980,78.6478
10,990,76.0237
10,1000,73.4872
11,50,1856.06
11,60,1796.04
11,70,1737.96
11,80,1681.75
11,90,1627.37
11,100,1574.74
11,110,1523.82
11,120,1474.54
11,130,1426.85
11,140,1380.71
11,150,1336.06
11,160,1292.85
11,170,1251.04
11,180,1210.58
11,190,1171.43
11,200,1133.55
11,210,1096.89
11,220,1061.42
11,230,1027.1
11,240,993.88
11,250,961.739
11,260,930.637
11,270,900.541
11,280,871.418
11,290,843.237
11,300,815.968
11,310,789.58
11,320,764.046
11,330,739.337
11,340,715.428
11,350,692.292
11,360,669.904
11,370,648.24
11,380,627.276
11,390,606.991
11,400,587.361
11,410,568.366
11,420,549.986
11,430,532.2
11,440,514.989
11,450,498.335
11,460,482.219
11,470,466.624
11,480,451.534
11,490,436.932
11,500,422.802
11,510,409.129
11,520,395.898
11,530,383.095
11,540,370.706
11,550,358.718
11,560,347.117
11,570,335.892
11,580,325.029
11,590,314.518
11,600,304.347
11,610,294.505
11,620,284.981
11,630,275.765
11,640,266.847
11,650,258.217
11,660,249.867
11,670,241.786
11,680,233.967
11,690,226.401
11,700,219.079
11,710,211.994
11,720,205.139
11,730,198.505
11,740,192.085
11,750,185.873
11,760,179.862
11,770,174.046
11,780,168.417
11,790,162.971
11,800,157.701
11,810,152.601
11,820,147.666
11,830,142.89
11,840,138.269
11,850,133.798
11,860,129.471
11,870,125.284
11,880,121.232
11,890,117.312
11,900,113.518
11,910,109.847
11,920,106.295
11,930,102.857
11,940,99.5309
11,950,96.3122
11,960,93.1975
11,970,90.1836
11,980,87.2671
11,990,84.445
11,1000,81.7141
12,50,1864.81
12,60,1806.2
12,70,1749.43
12,80,1694.45
12,90,1641.19
12,100,1589.61
12,110,1539.65
12,120,1491.26
12,130,1444.39
12,140,1398.99
12,150,1355.02
12,160,1312.44
12,170,1271.19
12,180,1231.24
12,190,1192.54
12,200,1155.06
12,210,1118.76
12,220,1083.59
12,230,1049.54
12,240,1016.55
12,250,984.601
12,260,953.656
12,270,923.683
12,280,894.653
12,290,866.534
12,300,839.3
12,310,812.921
12,320,787.372
12,330,762.625
12,340,738.656
12,350,715.441
12,360,692.955
12,370,671.176
12,380,650.081
12,390,629.65
12,400,609.86
12,410,590.693
12,420,572.128
12,430,554.146
12,440,536.73
12,450,519.861
12,460,503.522
12,470,487.697
12,480,472.369
12,490,457.523
12,500,443.143
12,510,429.215
12,520,415.725
12,530,402.659
12,540,390.004
12,550,377.747
12,560,365.874
12,570,354.375
12,580,343.237
12,590,332.45
12,600,322.001
12,610,311.881
12,620,302.079
12,630,292.584
12,640,283.389
12,650,274.482
12,660,265.855
12,670,257.5
12,680,249.407
12,690,241.568
12,700,233.976
12,710,226.622
12,720,219.499
12,730,212.601
12,740,205.919
12,750,199.447
12,760,193.178
12,770,187.107
12,780,181.226
12,790,175.53
12,800,170.014
12,810,164.67
12,820,159.495
12,830,154.482
12,840,149.627
12,850,144.924
12,860,140.369
12,870,135.958
12,880,131.684
12,890,127.546
12,900,123.537
12,910,119.654
12,920,115.894
12,930,112.251
12,940,108.723
12,950,105.306
12,960,101.996
